SUID
7329
26092
7112
6720
4001
30011
2885
9322
51429
50944
3741
83737
22839
6249
273
273
8557
81550
54984
2332
3725
5970
51008
10783
2033
7068
9325
222229
1488
1487
10013
8841
3065
7421
84458
2099
9513
90231
10159
10801
203547
203547
51474
4641
11034
1072
9114
9114
10987
5464
71
60
581
4792
291
4000
55791
55791
155061
79026
2521
2521
23392
25777
1994
1994
5267
11160
2932
55033
55033
9784
119180
119180
1292
999
79867
79867
131965
7536
847
847
55752
57620
6786
83546
1291
57017
57017
25771
1432
10367
29086
5465
54819
7514
89
648
6927
6271
9455
6263
10345
2280
6261
9456
8875
8875
4250
4250
3133
54858
87
26270
26270
9427
9427
9427
10869
9001
4604
4604
10073
7316
4632
4632
7135
55143
54916
93185
8454
7136
84676
84676
1457
1457
1457
4654
5987
9070
11091
5081
5081
8087
8087
8359
7090
7168
79641
10107
139596
79912
8449
1173
1173
1398
26060
3276
3276
6850
84466
285489
351
351
351
10290
10290
10290
4609
1073
4318
1303
55294
29979
10161
84876
84876
23197
23197
801
779
10971
10971
10971
55646
122622
246329
8452
8452
390594
8139
1616
6517
7140
58
58
1785
7170
7138
4625
4625
4534
274
274
7273
4620
7169
4621
88
4626
4626
84665
4703
10324
131377
131377
